OSM_ID,BUILDING,A_STRT,A_SBRB,A_HSNMBR,B_LEVELS,NAME
207595738,yes,,,,"1",
207595886,yes,,,,"1",
131348800,yes,,,,,
207595670,yes,,,,"1",
188630390,yes,,,,"1",
207595734,yes,,,,"1",
207595870,yes,,,,"1",
188630380,yes,,,,"1",
207595812,yes,,,,"1",
207595648,yes,,,,"1",
207595828,yes,,,,"1",
207595797,yes,,,,"1",
188630413,yes,,,,"1",
207595933,yes,,,,"1",
207613082,yes,,,,"1",
207595927,yes,,,,"1",
188630381,yes,,,,"1",
207595769,yes,,,,"1",
207595780,yes,,,,"1",
207595777,yes,,,,"1",
188630397,yes,,,,"1",
207613100,yes,,,,"1",
188630379,yes,,,,"1",
188630366,yes,,,,"1",
207595791,yes,,,,"1",
131348801,yes,,,,,
207595923,yes,,,,"1",
207595899,yes,,,,"1",
188630391,yes,,,,"1",
207595650,yes,,,,"1",
207595937,yes,,,,"1",
207595753,yes,,,,"1",
207595722,yes,,,,"1",
207595874,yes,,,,"1",
207613117,yes,,,,"1",
188630355,yes,,,,"1",
207595741,yes,,,,"1",
131348803,yes,,,,,
207595947,yes,,,,"1",
188630396,yes,,,,"1",
188630407,yes,,,,"1",
207595944,yes,,,,"1",
131348799,yes,,,,,
207595854,yes,,,,"1",
207595664,yes,,,,"1",
188630408,yes,,,,"1",
131348806,yes,,,,,
131348802,yes,,,,,
207595903,yes,,,,"1",
188630367,yes,,,,"1",
207613126,yes,,,,"1",
131348808,yes,,,,,
188630378,yes,,,,"1",
131348797,yes,,,,,
188630369,yes,,,,"1",
207595765,yes,,,,"1",
131348807,yes,,,,,
207595674,yes,,,,"1",
131348796,yes,,,,,
207595786,yes,,,,"1",
207595632,yes,,,,"1",
207595850,yes,,,,"1",
207595803,yes,,,,"1",
131348805,yes,,,,,
207595910,yes,,,,"1",
207595709,yes,,,,"1",
131348798,yes,,,,,
207595795,yes,,,,"1",
207595691,yes,,,,"1",
207613124,yes,,,,"1",
207613109,yes,,,,"1",
207613089,yes,,,,"1",
207595678,yes,,,,"1",
207595781,yes,,,,"1",
207595949,yes,,,,"1",
207595785,yes,,,,"1",
207613095,yes,,,,"1",
210575200,yes,,,,"1",
207595801,yes,,,,"1",
207595834,yes,,,,"1",
210575284,yes,,,,"1",
207613093,yes,,,,"1",
210575194,yes,,,,"1",
207595940,yes,,,,"1",
207595942,yes,,,,"1",
207595764,yes,,,,"1",
207595640,yes,,,,"1",
207595901,yes,,,,"1",
210575355,yes,,,,"1",
210575393,yes,,,,"1",
210575170,yes,,,,"1",
207595668,yes,,,,"1",
207595936,yes,,,,"1",
210575427,yes,,,,"1",
207595917,yes,,,,"1",
207595782,yes,,,,"1",
210575331,yes,,,,"1",
207595652,yes,,,,"1",
207595930,yes,,,,"1",
207595655,yes,,,,"1",
207595774,yes,,,,"1",
207595823,yes,,,,"1",
207595799,yes,,,,"1",
207595645,yes,,,,"1",
207595739,yes,,,,"1",
210575304,yes,,,,"1",
207595654,yes,,,,"1",
207595918,yes,,,,"1",
210575373,yes,,,,"1",
210575174,yes,,,,"1",
207595729,yes,,,,"1",
207595789,yes,,,,"1",
207595914,yes,,,,"1",
207595787,yes,,,,"2",
210575245,yes,,,,"1",
207595819,yes,,,,"1",
207595863,yes,,,,"1",
207595773,yes,,,,"1",
210575266,yes,,,,"1",
207595634,yes,,,,"1",
207595625,yes,,,,"1",
207595920,yes,,,,"1",
207595891,yes,,,,"1",
207595635,yes,,,,"1",
207595877,yes,,,,"1",
207595790,yes,,,,"1",
210575254,yes,,,,"1",
207595630,yes,,,,"1",
210575261,yes,,,,"1",
207595809,yes,,,,"1",
207595806,yes,,,,"1",
210575256,yes,,,,"1",
207595835,yes,,,,"1",
207595941,yes,,,,"1",
207595642,yes,,,,"1",
210575188,yes,,,,"1",
207595798,yes,,,,"1",
207595847,yes,,,,"1",
210575285,yes,,,,"1",
207595695,yes,,,,"1",
207595853,yes,,,,"1",
207595915,yes,,,,"1",
207595748,yes,,,,"1",
210575248,yes,,,,"1",
207595704,yes,,,,"1",
207595767,yes,,,,"1",
207595666,yes,,,,"1",
207595838,yes,,,,"1",
207595913,yes,,,,"1",
207595627,yes,,,,"1",
207595904,yes,,,,"1",
210575282,yes,,,,"1",
210575361,yes,,,,"1",
207595820,yes,,,,"1",
210575291,yes,,,,"1",
210575437,yes,,,,"1",
207595641,yes,,,,"1",
210575440,yes,,,,"1",
207595925,yes,,,,"1",
207595897,yes,,,,"1",
210575407,yes,,,,"1",
207595646,yes,,,,"1",
207595751,yes,,,,"1",
207595840,yes,,,,"1",
207595718,yes,,,,"1",
207595657,yes,,,,"1",
207595833,yes,,,,"1",
207595637,yes,,,,"1",
207595706,yes,,,,"1",
207595761,yes,,,,"1",
207595895,yes,,,,"1",
210575229,yes,,,,"1",
207595762,yes,,,,"1",
207595684,yes,,,,"1",
207595881,yes,,,,"1",
210575445,yes,,,,"1",
210575324,yes,,,,"1",
210575198,yes,,,,"1",
210575219,yes,,,,"1",
207595894,yes,,,,"1",
207595628,yes,,,,"1",
210575252,yes,,,,"1",
210575244,yes,,,,"1",
207595669,yes,,,,"1",
210575232,yes,,,,"1",
207595717,yes,,,,"1",
207595688,yes,,,,"1",
207595701,yes,,,,"1",
210575217,yes,,,,"1",
207595810,yes,,,,"1",
207595896,yes,,,,"1",
207595824,yes,,,,"1",
207595758,yes,,,,"1",
210575319,yes,,,,"1",
207595845,yes,,,,"1",
207595905,yes,,,,"1",
207595872,yes,,,,"1",
207595775,yes,,,,"1",
210575339,yes,,,,"1",
210575405,yes,,,,"1",
210575418,yes,,,,"1",
210575176,yes,,,,"1",
207595626,yes,,,,"1",
207595939,yes,,,,"1",
207595681,yes,,,,"1",
210575249,yes,,,,"1",
207595703,yes,,,,"1",
210575442,yes,,,,"1",
210575309,yes,,,,"1",
210575320,yes,,,,"1",
210575409,yes,,,,"1",
210575367,yes,,,,"1",
210575363,yes,,,,"1",
207595815,yes,,,,"1",
207595696,yes,,,,"1",
210575216,yes,,,,"1",
210575178,yes,,,,"1",
207595890,yes,,,,"1",
210575204,yes,,,,"1",
210575397,yes,,,,"1",
210575223,yes,,,,"1",
210575199,yes,,,,"1",
207595672,yes,,,,"1",
207595837,yes,,,,"1",
210575251,yes,,,,"1",
207595836,yes,,,,"1",
210575250,yes,,,,"1",
210575191,yes,,,,"1",
210575353,yes,,,,"1",
210575171,yes,,,,"1",
207595859,yes,,,,"2",
207595888,yes,,,,"1",
